URL,Local Title,Local Title Length,Live Title,Live Title Length,Title Match,Local Description,Local Desc Length,Live Description,Live Desc Length,Desc Match,Local Canonical,Live Canonical,Local og:title,Live og:title,Local og:description,Live og:description,Local og:image,Live og:image,Local og:type,Live og:type,Local og:url,Live og:url,Local twitter:card,Live twitter:card,Local twitter:image,Live twitter:image,Local H1 Count,Live H1 Count,Local H1s,Live H1s,Local robots,Live robots,Issues
/guides/migrate_sonoff_tasmota/,Migrating from Tasmota - ESPHome - Smart Home Made Simple,57,Migrating from Tasmota - ESPHome - Smart Home Made Simple,57,Yes,Migration guide for installing ESPHome on ESPs running Tasmota.,63,Migration guide for installing ESPHome on ESPs running Tasmota.,63,Yes,https://esphome.io/guides/migrate_sonoff_tasmota/,,Migrating from Tasmota,Migrating from Tasmota,Migration guide for installing ESPHome on ESPs running Tasmota.,Migration guide for installing ESPHome on ESPs running Tasmota.,https://esphome.io/images/logo.svg,https://esphome.io/tasmota.svg,article,website,https://esphome.io/guides/migrate_sonoff_tasmota/,https://esphome.io/guides/migrate_sonoff_tasmota/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/tasmota.svg,1,1,Migrating from Tasmota,Migrating from Tasmota,,,
/guides/migrate_espurna/,Migrating from ESPurna - ESPHome - Smart Home Made Simple,57,Migrating from ESPurna - ESPHome - Smart Home Made Simple,57,Yes,Migration guide for installing ESPHome on ESPs running ESPurna.,63,Migration guide for installing ESPHome on ESPs running ESPurna.,63,Yes,https://esphome.io/guides/migrate_espurna/,,Migrating from ESPurna,Migrating from ESPurna,Migration guide for installing ESPHome on ESPs running ESPurna.,Migration guide for installing ESPHome on ESPs running ESPurna.,https://esphome.io/images/logo.svg,https://esphome.io/espurna.svg,article,website,https://esphome.io/guides/migrate_espurna/,https://esphome.io/guides/migrate_espurna/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/espurna.svg,1,1,Migrating from ESPurna,Migrating from ESPurna,,,
/guides/migrate_espeasy/,Migrating from ESPEasy - ESPHome - Smart Home Made Simple,57,Migrating from ESPEasy - ESPHome - Smart Home Made Simple,57,Yes,Migration guide for installing ESPHome on ESPs running ESPEasy.,63,Migration guide for installing ESPHome on ESPs running ESPEasy.,63,Yes,https://esphome.io/guides/migrate_espeasy/,,Migrating from ESPEasy,Migrating from ESPEasy,Migration guide for installing ESPHome on ESPs running ESPEasy.,Migration guide for installing ESPHome on ESPs running ESPEasy.,https://esphome.io/images/logo.svg,https://esphome.io/espeasy.svg,article,website,https://esphome.io/guides/migrate_espeasy/,https://esphome.io/guides/migrate_espeasy/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/espeasy.svg,1,1,Migrating from ESPEasy,Migrating from ESPEasy,,,
/guides/made_for_esphome/,Made for ESPHome - ESPHome - Smart Home Made Simple,51,Made for ESPHome - ESPHome - Smart Home Made Simple,51,Yes,Information about the Made for ESPHome program,46,Information about the Made for ESPHome program,46,Yes,https://esphome.io/guides/made_for_esphome/,,Made for ESPHome,Made for ESPHome,Information about the Made for ESPHome program,Information about the Made for ESPHome program,https://esphome.io/images/logo.svg,https://esphome.io/images/made-for-esphome-black-on-white.png,article,website,https://esphome.io/guides/made_for_esphome/,https://esphome.io/guides/made_for_esphome/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/made-for-esphome-black-on-white.png,1,1,Made for ESPHome,Made for ESPHome,,,Desc short
/guides/installing_esphome/,Installing ESPHome Manually - ESPHome - Smart Home Made Simple,62,Installing ESPHome Manually - ESPHome - Smart Home Made Simple,62,Yes,Installing ESPHome Manually,27,,,No,https://esphome.io/guides/installing_esphome/,,Installing ESPHome Manually,Installing ESPHome Manually,Installing ESPHome Manually,,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/guides/installing_esphome/,https://esphome.io/guides/installing_esphome/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,1,Installing ESPHome Manually,Installing ESPHome Manually,,,Title too long; Desc short
/guides/getting_started_hassio/,Getting Started with ESPHome and Home Assistant - ESPHome - Smart Home Made Simple,82,Getting Started with ESPHome and Home Assistant - ESPHome - Smart Home Made Simple,82,Yes,Getting Started guide for installing ESPHome Device Builder as a Home Assistant add-on and creating a basic configuration.,122,Getting Started guide for installing ESPHome Device Builder as a Home Assistant add-on and creating a basic configuration.,122,Yes,https://esphome.io/guides/getting_started_hassio/,,Getting Started with ESPHome and Home Assistant,Getting Started with ESPHome and Home Assistant,Getting Started guide for installing ESPHome Device Builder as a Home Assistant add-on and creating a basic configuration.,Getting Started guide for installing ESPHome Device Builder as a Home Assistant add-on and creating a basic configuration.,https://esphome.io/images/logo.svg,https://esphome.io/images/home-assistant.svg,article,website,https://esphome.io/guides/getting_started_hassio/,https://esphome.io/guides/getting_started_hassio/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/home-assistant.svg,1,1,Getting Started with ESPHome and Home Assistant,Getting Started with ESPHome and Home Assistant,,,Title too long
/guides/getting_started_command_line/,Getting Started with the ESPHome Command Line - ESPHome - Smart Home Made Simple,80,Getting Started with the ESPHome Command Line - ESPHome - Smart Home Made Simple,80,Yes,Getting Started guide for installing ESPHome using the command line and creating a basic configuration.,103,Getting Started guide for installing ESPHome using the command line and creating a basic configuration.,103,Yes,https://esphome.io/guides/getting_started_command_line/,,Getting Started with the ESPHome Command Line,Getting Started with the ESPHome Command Line,Getting Started guide for installing ESPHome using the command line and creating a basic configuration.,Getting Started guide for installing ESPHome using the command line and creating a basic configuration.,https://esphome.io/images/logo.svg,https://esphome.io/console.svg,article,website,https://esphome.io/guides/getting_started_command_line/,https://esphome.io/guides/getting_started_command_line/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/console.svg,1,1,Getting Started with the ESPHome Command Line,Getting Started with the ESPHome Command Line,,,Title too long
/guides/faq/,Frequently Asked Questions - ESPHome - Smart Home Made Simple,61,Frequently Asked Questions - ESPHome - Smart Home Made Simple,61,Yes,Frequently asked questions in ESPHome.,38,Frequently asked questions in ESPHome.,38,Yes,https://esphome.io/guides/faq/,,Frequently Asked Questions,Frequently Asked Questions,Frequently asked questions in ESPHome.,Frequently asked questions in ESPHome.,https://esphome.io/images/logo.svg,https://esphome.io/question_answer.svg,article,website,https://esphome.io/guides/faq/,https://esphome.io/guides/faq/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/question_answer.svg,1,1,Frequently Asked Questions,Frequently Asked Questions,,,Title too long; Desc short
/guides/esp32_arduino_to_idf/,ESP32 Arduino to ESP-IDF Migration Guide - ESPHome - Smart Home Made Simple,75,ESP32 Arduino to ESP-IDF Migration Guide - ESPHome - Smart Home Made Simple,75,Yes,Guide for migrating ESP32 devices from Arduino framework to ESP-IDF,67,Guide for migrating ESP32 devices from Arduino framework to ESP-IDF,67,Yes,https://esphome.io/guides/esp32_arduino_to_idf/,,ESP32 Arduino to ESP-IDF Migration Guide,ESP32 Arduino to ESP-IDF Migration Guide,Guide for migrating ESP32 devices from Arduino framework to ESP-IDF,Guide for migrating ESP32 devices from Arduino framework to ESP-IDF,https://esphome.io/images/logo.svg,https://esphome.io/images/esp32.svg,article,website,https://esphome.io/guides/esp32_arduino_to_idf/,https://esphome.io/guides/esp32_arduino_to_idf/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/esp32.svg,1,1,ESP32 Arduino to ESP-IDF Migration Guide,ESP32 Arduino to ESP-IDF Migration Guide,,,Title too long
/guides/diy/,DIY Examples - ESPHome - Smart Home Made Simple,47,DIY Examples - ESPHome - Smart Home Made Simple,47,Yes,Community curated list of DIY creations and custom code for ESPHome.,68,Community curated list of DIY creations and custom code for ESPHome.,68,Yes,https://esphome.io/guides/diy/,,DIY Examples,DIY Examples,Community curated list of DIY creations and custom code for ESPHome.,Community curated list of DIY creations and custom code for ESPHome.,https://esphome.io/images/logo.svg,https://esphome.io/earth.svg,article,website,https://esphome.io/guides/diy/,https://esphome.io/guides/diy/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/earth.svg,1,1,DIY Examples,DIY Examples,,,
/guides/devboard_as_flasher/,Using an ESP devboard as a USB-UART bridge - ESPHome - Smart Home Made Simple,77,Using an ESP devboard as a USB-UART bridge - ESPHome - Smart Home Made Simple,77,Yes,Using an ESP devboard as a USB-UART bridge,42,,,No,https://esphome.io/guides/devboard_as_flasher/,,Using an ESP devboard as a USB-UART bridge,Using an ESP devboard as a USB-UART bridge,Using an ESP devboard as a USB-UART bridge,,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/guides/devboard_as_flasher/,https://esphome.io/guides/devboard_as_flasher/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,1,Using an ESP devboard as a USB-UART bridge,Using an ESP devboard as a USB-UART bridge,,,Title too long; Desc short
/guides/creators/,Sharing ESPHome devices - ESPHome - Smart Home Made Simple,58,Sharing ESPHome devices - ESPHome - Smart Home Made Simple,58,Yes,Information for creating and sharing devices using ESPHome firmware.,68,Information for creating and sharing devices using ESPHome firmware.,68,Yes,https://esphome.io/guides/creators/,,Sharing ESPHome devices,Sharing ESPHome devices,Information for creating and sharing devices using ESPHome firmware.,Information for creating and sharing devices using ESPHome firmware.,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/guides/creators/,https://esphome.io/guides/creators/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,1,Sharing ESPHome devices,Sharing ESPHome devices,,,
/guides/configuration-types/,Configuration Types - ESPHome - Smart Home Made Simple,54,Configuration Types - ESPHome - Smart Home Made Simple,54,Yes,Documentation of different configuration types in ESPHome,57,Documentation of different configuration types in ESPHome,57,Yes,https://esphome.io/guides/configuration-types/,,Configuration Types,Configuration Types,Documentation of different configuration types in ESPHome,Documentation of different configuration types in ESPHome,https://esphome.io/images/logo.svg,https://esphome.io/images/settings.svg,article,website,https://esphome.io/guides/configuration-types/,https://esphome.io/guides/configuration-types/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/settings.svg,1,1,Configuration Types,Configuration Types,,,
/guides/cli/,Command Line Interface - ESPHome - Smart Home Made Simple,57,Command Line Interface - ESPHome - Smart Home Made Simple,57,Yes,Documentation for the command line interface of ESPHome.,56,Documentation for the command line interface of ESPHome.,56,Yes,https://esphome.io/guides/cli/,,Command Line Interface,Command Line Interface,Documentation for the command line interface of ESPHome.,Documentation for the command line interface of ESPHome.,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/guides/cli/,https://esphome.io/guides/cli/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,1,Command Line Interface,Command Line Interface,,,
/guides/changelog/,Changelog - ESPHome - Smart Home Made Simple,44,Changelog - ESPHome - Smart Home Made Simple,44,Yes,Changelog,9,,,No,https://esphome.io/guides/changelog/,/changelog/,Changelog,Changelog,Changelog,,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/guides/changelog/,https://esphome.io/guides/changelog/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,1,Changelog,Changelog,,,Desc short
/guides/audio_clips_for_i2s/,Create audio clip files for use with I²S Speakers - ESPHome - Smart Home Made Simple,84,Create audio clip files for use with I²S Speakers - ESPHome - Smart Home Made Simple,84,Yes,Create audio clip files for use with I²S Speakers,49,,,No,https://esphome.io/guides/audio_clips_for_i2s/,,Create audio clip files for use with I²S Speakers,Create audio clip files for use with I²S Speakers,Create audio clip files for use with I²S Speakers,,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/guides/audio_clips_for_i2s/,https://esphome.io/guides/audio_clips_for_i2s/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,1,Create audio clip files for use with I²S Speakers,Create audio clip files for use with I²S Speakers,,,Title too long; Desc short
/cookbook/,Cookbook - ESPHome - Smart Home Made Simple,43,Cookbook - ESPHome - Smart Home Made Simple,43,Yes,Cookbook,8,,,No,https://esphome.io/cookbook/,,Cookbook,Cookbook,Cookbook,,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/cookbook/,https://esphome.io/cookbook/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,1,Cookbook,Cookbook,,,Desc short
/cookbook/sonoff-fishpond-pump/,Sonoff Fish Pond Pump - ESPHome - Smart Home Made Simple,56,Sonoff Fish Pond Pump - ESPHome - Smart Home Made Simple,56,Yes,Making an automated fish pond pump with timing and auto stop safety with Sonoff Basic ESP8266 chip,98,Making an automated fish pond pump with timing and auto stop safety with Sonoff Basic ESP8266 chip,98,Yes,https://esphome.io/cookbook/sonoff-fishpond-pump/,,Sonoff Fish Pond Pump,Sonoff Fish Pond Pump,Making an automated fish pond pump with timing and auto stop safety with Sonoff Basic ESP8266 chip,Making an automated fish pond pump with timing and auto stop safety with Sonoff Basic ESP8266 chip,https://esphome.io/images/logo.svg,https://esphome.io/images/cookbook-sonoff-fishpond-pump.jpg,article,website,https://esphome.io/cookbook/sonoff-fishpond-pump/,https://esphome.io/cookbook/sonoff-fishpond-pump/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/cookbook-sonoff-fishpond-pump.jpg,1,1,Sonoff Fish Pond Pump,Sonoff Fish Pond Pump,,,
/cookbook/pulse-catcher/,Pulse Catcher - ESPHome - Smart Home Made Simple,48,Pulse Catcher - ESPHome - Smart Home Made Simple,48,Yes,Example to use the pulse meter sensor as a pulse catcher.,57,Example to use the pulse meter sensor as a pulse catcher.,57,Yes,https://esphome.io/cookbook/pulse-catcher/,,Pulse Catcher,Pulse Catcher,Example to use the pulse meter sensor as a pulse catcher.,Example to use the pulse meter sensor as a pulse catcher.,https://esphome.io/images/logo.svg,https://esphome.io/images/pulses.png,article,website,https://esphome.io/cookbook/pulse-catcher/,https://esphome.io/cookbook/pulse-catcher/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/pulses.png,1,1,Pulse Catcher,Pulse Catcher,,,
/cookbook/power_meter/,Non-Invasive Power Meter - ESPHome - Smart Home Made Simple,59,Non-Invasive Power Meter - ESPHome - Smart Home Made Simple,59,Yes,Instructions for hacking your power meter at home to measure your power usage.,78,Instructions for hacking your power meter at home to measure your power usage.,78,Yes,https://esphome.io/cookbook/power_meter/,,Non-Invasive Power Meter,Non-Invasive Power Meter,Instructions for hacking your power meter at home to measure your power usage.,Instructions for hacking your power meter at home to measure your power usage.,https://esphome.io/images/logo.svg,https://esphome.io/images/power_meter.jpg,article,website,https://esphome.io/cookbook/power_meter/,https://esphome.io/cookbook/power_meter/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/power_meter.jpg,1,1,Non-Invasive Power Meter,Non-Invasive Power Meter,,,
/cookbook/lvgl/,LVGL: Tips and Tricks - ESPHome - Smart Home Made Simple,56,LVGL: Tips and Tricks - ESPHome - Smart Home Made Simple,56,Yes,Recipes for common use cases of LVGL Displays with ESPHome,58,Recipes for common use cases of LVGL Displays with ESPHome,58,Yes,https://esphome.io/cookbook/lvgl/,,LVGL: Tips and Tricks,LVGL: Tips and Tricks,Recipes for common use cases of LVGL Displays with ESPHome,Recipes for common use cases of LVGL Displays with ESPHome,https://esphome.io/images/logo.svg,https://esphome.io/images/lvgl.png,article,website,https://esphome.io/cookbook/lvgl/,https://esphome.io/cookbook/lvgl/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/lvgl.png,1,1,LVGL: Tips and Tricks,LVGL: Tips and Tricks,,,
/cookbook/leak-detector-m5stickc/,ESP32 Water Leak Detector (with notification) - ESPHome - Smart Home Made Simple,80,ESP32 Water Leak Detector (with notification) - ESPHome - Smart Home Made Simple,80,Yes,Water leak detector with ESPHome on an M5StickC ESP32,53,Water leak detector with ESPHome on an M5StickC ESP32,53,Yes,https://esphome.io/cookbook/leak-detector-m5stickc/,,ESP32 Water Leak Detector (with notification),ESP32 Water Leak Detector (with notification),Water leak detector with ESPHome on an M5StickC ESP32,Water leak detector with ESPHome on an M5StickC ESP32,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/cookbook/leak-detector-m5stickc/,https://esphome.io/cookbook/leak-detector-m5stickc/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,1,ESP32 Water Leak Detector (with notification),ESP32 Water Leak Detector (with notification),,,Title too long
/cookbook/lambda_magic/,Lambda Magic - ESPHome - Smart Home Made Simple,47,Lambda Magic - ESPHome - Smart Home Made Simple,47,Yes,Recipes for various interesting things you can do with Lambdas in ESPHome,73,Recipes for various interesting things you can do with Lambdas in ESPHome,73,Yes,https://esphome.io/cookbook/lambda_magic/,,Lambda Magic,Lambda Magic,Recipes for various interesting things you can do with Lambdas in ESPHome,Recipes for various interesting things you can do with Lambdas in ESPHome,https://esphome.io/images/logo.svg,https://esphome.io/images/language-cpp.svg,article,website,https://esphome.io/cookbook/lambda_magic/,https://esphome.io/cookbook/lambda_magic/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/language-cpp.svg,1,1,Lambda Magic,Lambda Magic,,,
/cookbook/infostrip/,Infostripe - ESPHome - Smart Home Made Simple,45,Infostripe - ESPHome - Smart Home Made Simple,45,Yes,Simple visualisation of Home Assistant states using a Neopixel stripe,69,Simple visualisation of Home Assistant states using a Neopixel stripe,69,Yes,https://esphome.io/cookbook/infostrip/,,Infostripe,Infostripe,Simple visualisation of Home Assistant states using a Neopixel stripe,Simple visualisation of Home Assistant states using a Neopixel stripe,https://esphome.io/images/logo.svg,https://esphome.io/cookbook/images/infostrip-detail.jpg,article,website,https://esphome.io/cookbook/infostrip/,https://esphome.io/cookbook/infostrip/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/cookbook/images/infostrip-detail.jpg,1,1,Infostripe,Infostripe,,,
/cookbook/garage-door/,Simple Garage Door - ESPHome - Smart Home Made Simple,53,Simple Garage Door - ESPHome - Smart Home Made Simple,53,Yes,Instructions for setting up a simple garage door in ESPHome.,60,Instructions for setting up a simple garage door in ESPHome.,60,Yes,https://esphome.io/cookbook/garage-door/,,Simple Garage Door,Simple Garage Door,Instructions for setting up a simple garage door in ESPHome.,Instructions for setting up a simple garage door in ESPHome.,https://esphome.io/images/logo.svg,https://esphome.io/window-open.svg,article,website,https://esphome.io/cookbook/garage-door/,https://esphome.io/cookbook/garage-door/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/window-open.svg,1,1,Simple Garage Door,Simple Garage Door,,,
/cookbook/ehmtx/,ehmtx a matrix status display - ESPHome - Smart Home Made Simple,64,ehmtx a matrix status display - ESPHome - Smart Home Made Simple,64,Yes,"A simple DIY status display, build with a flexible 8x32 RGB LED panel.",70,"A simple DIY status display, build with a flexible 8x32 RGB LED panel.",70,Yes,https://esphome.io/cookbook/ehmtx/,,ehmtx a matrix status display,ehmtx a matrix status display,"A simple DIY status display, build with a flexible 8x32 RGB LED panel.","A simple DIY status display, build with a flexible 8x32 RGB LED panel.",https://esphome.io/images/logo.svg,https://esphome.io/images/ehmtx.jpg,article,website,https://esphome.io/cookbook/ehmtx/,https://esphome.io/cookbook/ehmtx/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/ehmtx.jpg,1,1,ehmtx a matrix status display,ehmtx a matrix status display,,,Title too long
/cookbook/display_time_temp_oled/,Time & Temperature on OLED Display - ESPHome - Smart Home Made Simple,69,Time & Temperature on OLED Display - ESPHome - Smart Home Made Simple,69,Yes,Instructions for setting up a display in ESPHome to show sensor values from Home Assistant,90,Instructions for setting up a display in ESPHome to show sensor values from Home Assistant,90,Yes,https://esphome.io/cookbook/display_time_temp_oled/,,Time & Temperature on OLED Display,Time & Temperature on OLED Display,Instructions for setting up a display in ESPHome to show sensor values from Home Assistant,Instructions for setting up a display in ESPHome to show sensor values from Home Assistant,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/cookbook/display_time_temp_oled/,https://esphome.io/cookbook/display_time_temp_oled/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,1,Time & Temperature on OLED Display,Time & Temperature on OLED Display,,,Title too long
